text,word,n,id,name,Comments,CL,keyword,cbdsmokeshop,retailer,RT,Duplicate,Keyword mentioned in post?,Ingestible_edible,Vape,flower_combustible,non_ingestible,delta_8_specific,flavoring_mentioned,tested,amount_of_drug,sale_promotion_or_giveaway,Therapeutic_claim,Effects_mentioned,Naturalness,legal_high,popularity,availability,website,cbdsmokeshop_cl,retailer_cl,RT_cl,Duplicate_cl,Keyword mentioned in post?_cl,Ingestible_edible_cl,Vape_cl,flower_combustible_cl,non_ingestible_cl,delta_8_specific_cl,flavoring_mentioned_cl,tested_cl,amount_of_drug_cl,sale_promotion_or_giveaway_cl,Therapeutic_claim_cl,Effects_mentioned_cl,Naturalness_cl,legal_high_cl,popularity_cl,availability_cl,Website_cl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity CBD Peanut Butter - 500mg

Add the delicious experience of Yum Yum’s CBD Peanut Butter with 500mg of CBD in an 8oz package! Savor the experience of adding https://t.co/5Bfg0JtfP2 #cbdedibles #delta8 https://t.co/X4ZpUnaHLT",cbd,32586,1.43E+18,CBDSmokeShop,"hashtag standalone, food/bev","edible, savory, amount of drug, delicious","product advertising, hashtag standalone and in post",1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Organic CBD Matcha Green Tea
Unimposing yet statement-making, our CBD Matcha Green Tea takes you on a silky journey through enlightened realms of pleasure. Sourced https://t.co/OxcWiB32Oo #cbdedibles #delta8 https://t.co/wInAnlQ9Vk",cbd,32586,1.43E+18,CBDSmokeShop,"hashtag standalone, food/bev","edible, beverage, pleasure","product advertising, hashtag standalone and in post",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Canna River Premium Hemp Flower in 7 gram jars. Each strain is Third-Party tested and COAs are available. Terpene rich strains available: Sweet Wife, Special Sauce, https://t.co/8oM0r8q9aX #cbdedibles #delta8 https://t.co/Xckwb6uAlu",cbd,32586,1.41E+18,CBDSmokeShop,"hashtag standalone, flower, sale","amount of drug, flower, tested, variety","not mentioned in post, hashtag standalone",1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity CBD Oil Hand &amp; Body Lotion. There’s no better way to pamper your skin than with the all-natural silky smoothness of CBD Oil Biotech Hand &amp;amp; Body Lotion, infused https://t.co/ElHsK07rUg #cbdedibles #delta8 https://t.co/DwIXcl8RJm",cbd,32586,1.41E+18,CBDSmokeShop,"hashtag standalone, lotion, sale","lotion, natural","hashtag standalone, product advertising",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Calm the mind and float through your day with a healthy dose of 25mg of Delta-8 THC in each individual Peanut Butter Nugget! #peanutbutter #relief #THC #delta8 #cbd #thcnuggets #peanutbutternuggets #TriHealthy #THCPeanutButter https://t.co/45ywpCkHis,cbd,32586,1.36E+18,Tri-Healthy CBD,"hashtag standalone, food/bev, sale","calm, amount of drug, edible, savory","hashtag standalone, product advertising",0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity CBD Peanut Butter - 500mg

Add the delicious experience of Yum Yum’s CBD Peanut Butter with 500mg of CBD in an 8oz package! Savor the experience of adding https://t.co/5Bfg0JbEqs #cbdedibles #delta8 https://t.co/MbKAoPgXtH",cannabis,19168,1.41E+18,CBDSmokeShop,"hashtag standalone, sale","edible, savory, amount of drug, delicious","not mentioned in post, community, hashtag standalone",1,,,1,,,,,,,,,,,,,,,,,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
I am legit goneeeeeeee. #edibles #DELTA8 #CannabisCommunity #cannabismedicinal #cannabisindustry #incredible #flyhigh #foodie #foodplay #foodfetish #ONLYFANSCOLLECTIONS #onlyfansmodels #sellingcontent #tuesdayvibe #tuesdaymotivations #onlyfansnewb #OnlyFansTH https://t.co/ccNtMhhGJW,cannabis,19168,1.42E+18,Carlyyy420,hashtag standalone,"high, edible","not mentioned in post, community, hashtag standalone",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"#edibles #cbdoil #prerolls #cannabis  #vapejuice #cannabiscommunity Tommy Chong's Nano Energy Tincture is formulated to help you feel energized. Calm and focused all day no matter what.

Tommy Chong's CBD is sourced from the best https://t.co/9RfprQttxZ #cbdedibles #delta8 https://t.co/6yDNISIfn4",cannabis,19168,1.42E+18,CBDSmokeShop,hashtag standalone,"energy, tincture, calm, focus","not mentioned in post, community, hashtag standalone",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"How hemp multi+ Is Formulated To Balance Mood &amp; Outlook
#sbreezeco #cbd #cbg #delta8 #cannabis #hemp #cannahealth https://t.co/kFXCWzSYHK",cannabis,19168,1.38E+18,💨SummerBreezeco🌞,"hashtag standalone, health claims","formula, mood, balance","not mentioned in post, hashtag standalone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
